Unnamed: 0,Countries,ISO3,Region,SIDS,LDCs,# RP,# FA,RP Financing $,FA Financing $,Adaptation,Mitigation,Crosscutting,AdaptationMitigationRatio,Ambition Category,Ambition,CO2BIP,1990,2010,2019,2025 upper,2025 lower,2030 upper,2030 lower,GRadUn,GradCon,Total Change 2019-2030 Upper (%),Total Change 2019-2030 Lower (%),AvgChange%
90,Saint Lucia,LCA,Latin America and the Caribbean,True,False,18,1,8077288.56,16000000.0,0.0,16000000.0,0.0,0.0,Erhöhte Ambition,1.0,0.2802772,0.3,0.6,0.6,0.7,0.7,0.8,0.8,2.1,2.1,33.33,33.33,33.33
91,Sao Tome and Principe,STP,Africa,True,False,5,1,5963284.0,17427000.0,0.0,0.0,17444444.44444444,,Keine höhere Ambition,0.0,0.19370767,0.1,0.2,0.2,0.2,0.2,0.2,0.2,1.2,1.2,0.0,0.0,0.0
92,Senegal,SEN,Africa,False,True,12,16,6116312.27,223866804.3,33218521.0,112923696.7693499,103000064.4326848,0.2273027021693853,Erhöhte Ambition,1.0,0.23644333,13.9,22.3,27.6,36.5,29.3,41.4,31.4,1.2,1.2,50.0,13.77,31.88
93,Serbia,SRB,Eastern Europe,False,False,4,5,3282807.0,117432637.5,0.0,36861428.57142857,88254059.82905982,0.0,Erhöhte Ambition,1.0,0.37246478,78.0,78.7,89.6,79.1,79.1,70.3,70.3,3.1,3.1,-21.54,-21.54,-21.54
94,Seychelles,SYC,Africa,True,False,7,4,4808427.0,34322460.53,30044937.67647059,0.0,17777777.77777778,1.0,Erhöhte Ambition,1.0,0.18134007,0.2,0.5,0.5,0.6,0.5,0.6,0.6,,,20.0,20.0,20.0
95,Sierra Leone,SLE,Africa,False,True,7,8,2623304.0,74969639.65,53449790.31578948,6111111.111111112,17249634.50292398,0.8973972696062817,Keine höhere Ambition,0.0,0.10936824,4.5,5.9,7.6,5.9,5.9,13.7,13.7,1.2,1.2,80.26,80.26,80.26
96,South Africa,ZAF,Africa,False,False,4,9,1721820.11,414610485.0,259479166.6666667,104011904.7619048,36239961.3003096,0.7138529308213177,Erhöhte Ambition,1.0,0.5601638,352.3,536.7,533.2,613.0,418.4,714.5,370.9,5.1,3.0,34.0,-30.44,1.78
97,Sri Lanka,LKA,Asia-Pacific,False,False,5,5,6489399.0,105693354.16,85211941.1764706,0.0,38107323.23262626,1.0,Erhöhte Ambition,1.0,0.078128286,17.3,28.1,40.2,46.5,43.0,51.8,45.4,1.2,1.2,28.86,12.94,20.9
98,State of Palestine,PSE,Asia-Pacific,False,False,7,1,4601268.4,24697689.58,0.0,0.0,24697689.58,,Keine höhere Ambition,0.0,0.14601988,2.1,3.3,9.0,10.7,9.7,12.3,10.3,,,36.67,14.44,25.56
99,Syrian Arab Republic,SYR,Asia-Pacific,False,False,3,0,1861082.8,,,,,,Kein Vorheriges Dokument verfügbar,,0.48352048,41.8,88.0,50.1,67.4,67.4,83.8,83.8,1.2,1.2,67.27,67.27,67.27
